CustomerID,OrderMonth,PreviousOrderMonth
12347,2011-01,2010-12
12362,2011-08,2011-07
12362,2011-09,2011-08
12362,2011-10,2011-09
12362,2011-11,2011-10
12362,2011-12,2011-11
12364,2011-09,2011-08
12364,2011-10,2011-09
12379,2011-07,2011-06
12380,2011-10,2011-09
12380,2011-11,2011-10
12384,2011-09,2011-08
12386,2011-01,2010-12
12395,2011-01,2010-12
12395,2011-02,2011-01
12395,2011-03,2011-02
12395,2011-06,2011-05
12395,2011-11,2011-10
12399,2011-06,2011-05
12407,2011-04,2011-03
12408,2011-04,2011-03
12409,2011-09,2011-08
12423,2011-02,2010-12
12423,2011-03,2011-02
12423,2011-04,2011-03
12423,2011-05,2011-04
12423,2011-06,2011-05
12423,2011-09,2011-08
12429,2011-04,2010-12
12431,2011-01,2010-12
12431,2011-02,2011-01
12431,2011-06,2011-05
12431,2011-07,2011-06
12431,2011-08,2011-07
12431,2011-11,2011-10
12433,2011-09,2010-12
12433,2011-10,2011-09
12433,2011-11,2011-10
12433,2011-12,2011-11
12437,2011-02,2011-01
12437,2011-03,2011-02
12437,2011-04,2011-03
12437,2011-05,2011-04
12437,2011-06,2011-05
12437,2011-10,2011-09
12437,2011-11,2011-10
12437,2011-12,2011-11
12444,2011-09,2011-08
12444,2011-10,2011-09
12444,2011-11,2011-10
12449,2011-09,2011-08
12450,2011-07,2011-06
12456,2011-08,2011-07
12457,2011-09,2011-08
12457,2011-10,2011-09
12462,2011-12,2011-11
12463,2011-05,2011-04
12463,2011-06,2011-05
12464,2011-08,2011-07
12471,2011-01,2010-12
12471,2011-02,2011-01
12471,2011-03,2011-02
12471,2011-04,2011-03
12471,2011-05,2011-04
12471,2011-08,2011-07
12471,2011-09,2011-08
12471,2011-10,2011-09
12471,2011-11,2011-10
12471,2011-12,2011-11
12472,2011-01,2010-12
12472,2011-02,2011-01
12472,2011-03,2011-02
12472,2011-07,2011-06
12472,2011-11,2011-10
12474,2011-01,2010-12
12474,2011-02,2011-01
12474,2011-03,2011-02
12474,2011-04,2011-03
12474,2011-05,2011-04
12474,2011-06,2011-05
12474,2011-07,2011-06
12474,2011-10,2011-09
12474,2011-11,2011-10
12477,2011-09,2011-08
12477,2011-10,2011-09
12477,2011-11,2011-10
12479,2011-12,2011-11
12484,2011-11,2011-10
12493,2011-06,2011-05
12494,2011-01,2010-12
12494,2011-02,2011-01
12494,2011-11,2011-10
12498,2011-11,2011-10
12500,2011-02,2011-01
12500,2011-03,2011-02
12500,2011-11,2011-10
12502,2011-03,2011-02
12502,2011-09,2011-08
12513,2011-09,2011-08
12518,2011-09,2011-08
12518,2011-10,2011-09
12518,2011-11,2011-10
12518,2011-12,2011-11
12523,2011-02,2011-01
12523,2011-03,2011-02
12523,2011-04,2011-03
12523,2011-08,2011-07
12523,2011-09,2011-08
12523,2011-10,2011-09
12523,2011-11,2011-10
12523,2011-12,2011-11
12527,2011-02,2011-01
12546,2011-10,2011-09
12559,2011-02,2011-01
12560,2011-08,2011-07
12584,2011-07,2011-06
12584,2011-08,2011-07
12584,2011-09,2011-08
12584,2011-10,2011-09
12584,2011-11,2011-10
12584,2011-12,2011-11
12585,2011-01,2010-12
12586,2011-11,2010-12
12600,2011-02,2010-12
12600,2011-03,2011-02
12600,2011-04,2011-03
12600,2011-05,2011-04
12600,2011-08,2011-07
12600,2011-09,2011-08
12610,2011-11,2011-10
12612,2011-10,2011-09
12613,2011-11,2011-10
12619,2011-04,2011-03
12619,2011-08,2011-07
12619,2011-09,2011-08
12627,2011-08,2011-07
12627,2011-09,2011-08
12627,2011-10,2011-09
12627,2011-11,2011-10
12633,2011-06,2011-05
12637,2011-04,2011-03
12637,2011-10,2011-09
12642,2011-11,2011-10
12643,2011-06,2011-05
12647,2011-03,2010-12
12647,2011-04,2011-03
12647,2011-05,2011-04
12647,2011-08,2011-07
12647,2011-09,2011-08
12649,2011-05,2010-12
12656,2011-05,2011-04
12656,2011-09,2011-08
12657,2011-10,2011-09
12657,2011-11,2011-10
12668,2011-01,2010-12
12668,2011-04,2011-03
12668,2011-12,2011-11
12669,2011-04,2011-03
12680,2011-09,2011-08
12682,2011-01,2010-12
12682,2011-02,2011-01
12682,2011-03,2011-02
12682,2011-04,2011-03
12682,2011-05,2011-04
12682,2011-06,2011-05
12682,2011-07,2011-06
12682,2011-08,2011-07
12682,2011-09,2011-08
12682,2011-10,2011-09
12682,2011-11,2011-10
12682,2011-12,2011-11
12683,2011-01,2010-12
12683,2011-06,2011-05
12683,2011-09,2011-08
12683,2011-10,2011-09
12683,2011-11,2011-10
12683,2011-12,2011-11
12684,2011-06,2011-05
12684,2011-11,2011-10
12684,2011-12,2011-11
12685,2011-10,2011-09
12685,2011-11,2011-10
12691,2011-01,2010-12
12691,2011-11,2011-10
12697,2011-07,2011-06
12697,2011-08,2011-07
12703,2011-10,2011-09
12704,2011-09,2011-08
12704,2011-12,2011-11
12710,2011-06,2011-05
12710,2011-07,2011-06
12712,2011-01,2010-12
12712,2011-02,2011-01
12712,2011-03,2011-02
12712,2011-06,2011-05
12712,2011-07,2011-06
12712,2011-08,2011-07
12712,2011-11,2011-10
12714,2011-06,2011-05
12721,2011-02,2010-12
12722,2011-08,2011-07
12722,2011-09,2011-08
12723,2011-11,2011-10
12723,2011-12,2011-11
12747,2011-01,2010-12
12747,2011-06,2011-05
12747,2011-11,2011-10
12747,2011-12,2011-11
12753,2011-01,2010-12
12753,2011-02,2011-01
12753,2011-03,2011-02
12753,2011-04,2011-03
12753,2011-08,2011-07
12753,2011-12,2011-11
12754,2011-03,2011-02
12754,2011-04,2011-03
12762,2011-12,2011-11
12763,2011-07,2010-12
12766,2011-01,2010-12
12766,2011-02,2011-01
12775,2011-03,2011-02
12775,2011-06,2011-05
12778,2011-11,2011-10
12782,2011-01,2010-12
12785,2011-12,2010-12
12793,2011-01,2010-12
12808,2011-06,2010-12
12811,2011-03,2011-02
12823,2011-03,2011-02
12823,2011-09,2011-08
12826,2011-01,2010-12
12826,2011-12,2011-11
12827,2011-11,2011-10
12827,2011-12,2011-11
12828,2011-09,2011-08
12828,2011-10,2011-09
12829,2011-01,2010-12
12830,2011-07,2011-06
12838,2011-11,2010-12
12840,2011-05,2011-04
12840,2011-06,2011-05
12840,2011-07,2011-06
12841,2011-01,2010-12
12841,2011-02,2011-01
12841,2011-03,2011-02
12841,2011-04,2011-03
12841,2011-05,2011-04
12841,2011-06,2011-05
12841,2011-07,2011-06
12841,2011-08,2011-07
12841,2011-09,2011-08
12841,2011-10,2011-09
12841,2011-11,2011-10
12841,2011-12,2011-11
12843,2011-06,2011-05
12843,2011-07,2011-06
12853,2011-05,2011-04
12853,2011-08,2011-07
12856,2011-11,2011-10
12856,2011-12,2011-11
12875,2011-07,2010-12
12888,2011-04,2011-03
12888,2011-05,2011-04
12910,2011-05,2011-04
12910,2011-10,2011-09
12910,2011-11,2011-10
12913,2011-02,2010-12
12913,2011-03,2011-02
12913,2011-12,2011-11
12919,2011-07,2011-06
12919,2011-08,2011-07
12919,2011-09,2011-08
12919,2011-12,2011-11
12935,2011-08,2011-07
12935,2011-12,2011-11
12944,2011-11,2010-12
12947,2011-01,2010-12
12947,2011-05,2011-04
12947,2011-06,2011-05
12947,2011-07,2011-06
12948,2011-11,2011-10
12949,2011-05,2011-04
12955,2011-06,2011-05
12955,2011-07,2011-06
12955,2011-08,2011-07
12955,2011-09,2011-08
12955,2011-10,2011-09
12955,2011-11,2011-10
12955,2011-12,2011-11
12957,2011-04,2011-03
12957,2011-05,2011-04
12957,2011-06,2011-05
12957,2011-10,2011-09
12957,2011-11,2011-10
12957,2011-12,2011-11
12963,2011-02,2010-12
12963,2011-10,2011-09
12963,2011-11,2011-10
12963,2011-12,2011-11
12967,2011-02,2010-12
12971,2011-01,2010-12
12971,2011-02,2011-01
12971,2011-03,2011-02
12971,2011-04,2011-03
12971,2011-05,2011-04
12971,2011-06,2011-05
12971,2011-07,2011-06
12971,2011-08,2011-07
12971,2011-09,2011-08
12971,2011-10,2011-09
12971,2011-11,2011-10
12971,2011-12,2011-11
12989,2011-01,2010-12
12989,2011-02,2011-01
12989,2011-03,2011-02
12989,2011-04,2011-03
12989,2011-05,2011-04
12989,2011-10,2011-09
12989,2011-11,2011-10
12989,2011-12,2011-11
12999,2011-05,2011-04
13000,2011-03,2010-12
13001,2011-02,2011-01
13001,2011-03,2011-02
13001,2011-04,2011-03
13001,2011-05,2011-04
13001,2011-06,2011-05
13001,2011-07,2011-06
13001,2011-12,2011-11
13004,2011-01,2010-12
13004,2011-02,2011-01
13004,2011-05,2011-04
13004,2011-06,2011-05
13004,2011-07,2011-06
13004,2011-08,2011-07
13004,2011-09,2011-08
13004,2011-10,2011-09
13004,2011-11,2011-10
13008,2011-01,2010-12
13012,2011-06,2011-05
13012,2011-07,2011-06
13013,2011-04,2010-12
13013,2011-05,2011-04
13013,2011-08,2011-07
13013,2011-09,2011-08
13013,2011-10,2011-09
13013,2011-11,2011-10
