CustomerID,OrderMonth,MonthlyOrderTotal
12346,2011-01,0.0
12347,2010-12,711.79
12347,2011-01,475.39
12347,2011-04,636.25
12347,2011-06,382.52
12347,2011-08,584.91
12347,2011-10,1294.32
12347,2011-12,224.82
12348,2010-12,892.8
12348,2011-01,227.44
12348,2011-04,367.0
12348,2011-09,310.0
12349,2011-11,1757.55
12350,2011-02,334.4
12352,2011-02,296.5
12352,2011-03,304.68
12352,2011-09,632.5
12352,2011-11,311.73
12353,2011-05,89.0
12354,2011-04,1079.4
12355,2011-05,459.4
12356,2011-01,2271.62
12356,2011-04,481.46
12356,2011-11,58.35
12357,2011-11,6207.67
12358,2011-07,484.86
12358,2011-12,683.2
12359,2011-01,547.5
12359,2011-02,1838.91
12359,2011-04,-35.8
12359,2011-06,1109.32
12359,2011-10,2814.3
12359,2011-12,-91.25
12360,2011-05,1083.58
12360,2011-08,534.7
12360,2011-10,1043.78
12361,2011-02,189.9
12362,2011-02,474.2
12362,2011-04,495.24
12362,2011-07,303.76
12362,2011-08,451.35
12362,2011-09,829.99
12362,2011-10,1641.91
12362,2011-11,429.09
12362,2011-12,529.04
12363,2011-04,299.1
12363,2011-08,252.9
12364,2011-08,623.92
12364,2011-09,79.8
12364,2011-10,299.06
12364,2011-12,310.32
12365,2011-02,320.69
12367,2011-12,168.9
12370,2010-12,1864.27
12370,2011-03,938.39
12370,2011-10,739.28
12371,2011-10,1887.96
12372,2011-02,399.22
12372,2011-05,515.7
12372,2011-09,383.12
12373,2011-02,364.6
12374,2011-11,742.93
12375,2011-09,230.3
12375,2011-11,227.2
12375,2011-12,-2.08
12377,2010-12,1001.52
12377,2011-01,626.6
12378,2011-08,4008.62
12379,2011-06,459.84
12379,2011-07,-1.95
12379,2011-09,392.4
12380,2011-06,607.55
12380,2011-09,626.01
12380,2011-10,446.61
12380,2011-11,1040.39
12381,2011-08,1227.39
12381,2011-10,10.5
12381,2011-11,419.06
12381,2011-12,147.01
12383,2010-12,600.72
12383,2011-01,639.91
12383,2011-03,357.07
12383,2011-04,142.16
12383,2011-06,99.45
12384,2011-08,292.69
12384,2011-09,-19.11
12384,2011-11,292.58
12386,2010-12,258.9
12386,2011-01,143.0
12388,2011-01,431.3
12388,2011-02,124.05
12388,2011-03,210.9
12388,2011-07,902.09
12388,2011-09,825.92
12388,2011-11,286.4
12390,2011-09,549.84
12391,2011-11,439.66
12393,2011-01,639.5
12393,2011-04,421.6
12393,2011-09,521.5
12394,2011-05,381.08
12394,2011-10,891.4
12395,2010-12,679.92
12395,2011-01,-2.95
12395,2011-02,216.66
12395,2011-03,326.5
12395,2011-05,331.79
12395,2011-06,163.9
12395,2011-08,165.95
12395,2011-10,346.68
12395,2011-11,769.83
12397,2011-07,1214.81
12397,2011-11,1195.09
12398,2011-10,1635.66
12399,2011-03,288.05
12399,2011-05,480.9
12399,2011-06,130.08
