StockCode,Country,TotalQuantitySold
22492,Australia,2916
21918,Austria,288
23076,Bahrain,96
21212,Belgium,480
22722,Brazil,24
37370,Canada,504
21785,Channel Islands,407
22335,Cyprus,384
22579,Czech Republic,72
21915,Denmark,288
22197,EIRE,1809
23308,European Community,24
84997D,Finland,552
23084,France,4023
22326,Germany,1206
21615,Greece,48
22326,Hong Kong,150
23076,Iceland,240
20719,Israel,130
51014A,Italy,240
23084,Japan,3401
84929,Lebanon,24
22271,Lithuania,48
72741,Malta,75
23084,Netherlands,4801
16008,Norway,576
21232,Poland,168
22740,Portugal,240
21889,RSA,12
22969,Saudi Arabia,12
22339,Singapore,384
84997D,Spain,1089
22492,Sweden,2916
22554,Switzerland,639
23366,USA,88
85215,United Arab Emirates,72
22197,United Kingdom,52905
84077,Unspecified,96
