InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
561917,21172,PARTY METAL SIGN ,2,2011-08-01,1.45,16904,United Kingdom,2.9
561922,21828,EIGHT PIECE SNAKE  SET,1,2011-08-01,1.25,13167,United Kingdom,1.25
561926,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,2011-08-01,4.95,12749,United Kingdom,19.8
562011,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,2011-08-01,3.95,16745,United Kingdom,3.95
562024,23345, DOLLY GIRL BEAKER,2,2011-08-01,2.46,Unknown,United Kingdom,4.92
562042,23168,CLASSIC CAFE SUGAR DISPENSER,12,2011-08-02,1.25,13075,United Kingdom,15.0
562046,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,2011-08-02,7.95,12378,Switzerland,15.9
562046,20677,PINK POLKADOT BOWL,16,2011-08-02,1.25,12378,Switzerland,20.0
562046,47590B,PINK HAPPY BIRTHDAY BUNTING,3,2011-08-02,5.45,12378,Switzerland,16.35
562046,21114,LAVENDER SCENTED FABRIC HEART,10,2011-08-02,1.25,12378,Switzerland,12.5
562102,20726,LUNCH BAG WOODLAND,20,2011-08-02,1.65,13089,United Kingdom,33.0
562102,23207,LUNCH BAG ALPHABET DESIGN,20,2011-08-02,1.65,13089,United Kingdom,33.0
562113,21121,SET/10 RED POLKADOT PARTY CANDLES,2,2011-08-02,2.46,Unknown,United Kingdom,4.92
562114,21243,PINK  POLKADOT PLATE ,1,2011-08-02,3.29,Unknown,United Kingdom,3.29
562129,22412,METAL SIGN NEIGHBOURHOOD WITCH ,12,2011-08-03,2.1,13186,United Kingdom,25.2
562131,20728,LUNCH BAG CARS BLUE,10,2011-08-03,1.65,18178,United Kingdom,16.5
562163,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-08-03,4.95,15628,United Kingdom,14.85
562166,20725,LUNCH BAG RED RETROSPOT,10,2011-08-03,1.65,13209,United Kingdom,16.5
562218,21239,PINK  POLKADOT CUP,8,2011-08-03,0.85,13851,United Kingdom,6.8
562218,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2011-08-03,1.25,13851,United Kingdom,15.0
562219,23163,REGENCY SUGAR TONGS,8,2011-08-03,2.49,15089,United Kingdom,19.92
562219,22961,JAM MAKING SET PRINTED,12,2011-08-03,1.45,15089,United Kingdom,17.4
562346,22609,PENS ASSORTED SPACEBALL,72,2011-08-04,0.19,16187,United Kingdom,13.68
562417,20725,LUNCH BAG RED RETROSPOT,1,2011-08-04,4.13,Unknown,United Kingdom,4.13
562419,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-08-04,1.65,14667,United Kingdom,16.5
562429,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-08-04,2.95,13767,United Kingdom,17.7
562435,POST,POSTAGE,2,2011-08-04,18.0,12693,Germany,36.0
562450,22418,10 COLOUR SPACEBOY PEN,24,2011-08-05,0.85,12562,France,20.4
562451,22727,ALARM CLOCK BAKELIKE RED ,4,2011-08-05,3.75,15110,United Kingdom,15.0
562457,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-08-05,0.55,18079,United Kingdom,13.2
562539,21124,SET/10 BLUE POLKADOT PARTY CANDLES,4,2011-08-05,1.25,17220,United Kingdom,5.0
